pokedex_number,name,generation,is_legendary,type_number,type_1,type_2,height_m,weight_kg,ability_1,ability_2,total_points,hp,attack,defense,sp_attack,sp_defense,speed,base_friendship,egg_type_1,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,Evolution,form,base_name
209,Snubbull,2,0,1,Fairy,,0.6,7.8,Intimidate,Run Away,300.0,60.0,80.0,50.0,40.0,40.0,30.0,70.0,Fairy,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,,base,
210,Granbull,2,0,1,Fairy,,1.4,48.7,Intimidate,Quick Feet,450.0,90.0,120.0,75.0,60.0,60.0,45.0,70.0,Fairy,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,,base,
211,Qwilfish,2,0,2,Water,Poison,0.5,3.9,Poison Point,Swift Swim,440.0,65.0,95.0,85.0,55.0,55.0,85.0,70.0,Water 2,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,,base,
212,Scizor,2,0,2,Bug,Steel,1.8,118.0,Swarm,Technician,500.0,70.0,130.0,100.0,55.0,80.0,65.0,70.0,Bug,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,,base,
212,Mega Scizor,2,0,2,Bug,Steel,2.0,125.0,Technician,,600.0,70.0,150.0,140.0,65.0,100.0,75.0,70.0,Bug,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,,mega,Scizor
213,Shuckle,2,0,2,Bug,Rock,0.6,20.5,Sturdy,Gluttony,505.0,20.0,10.0,230.0,10.0,230.0,5.0,70.0,Bug,0.5,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,base,
214,Heracross,2,0,2,Bug,Fighting,1.5,54.0,Swarm,Guts,500.0,80.0,125.0,75.0,40.0,95.0,85.0,70.0,Bug,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,,base,
214,Mega Heracross,2,0,2,Bug,Fighting,1.7,62.5,Skill Link,,600.0,80.0,185.0,115.0,40.0,105.0,75.0,70.0,Bug,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,,mega,Heracross
215,Sneasel,2,0,2,Dark,Ice,0.9,28.0,Inner Focus,Keen Eye,430.0,55.0,95.0,55.0,35.0,75.0,115.0,35.0,Field,1.0,2.0,1.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.5,1.0,0.5,2.0,2.0,,base,
216,Teddiursa,2,0,1,Normal,,0.6,8.8,Pickup,Quick Feet,330.0,60.0,80.0,50.0,50.0,50.0,40.0,70.0,Field,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,base,
217,Ursaring,2,0,1,Normal,,1.8,125.8,Guts,Quick Feet,500.0,90.0,130.0,75.0,75.0,75.0,55.0,70.0,Field,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,base,
218,Slugma,2,0,1,Fire,,0.7,35.0,Magma Armor,Flame Body,250.0,40.0,40.0,40.0,70.0,40.0,20.0,70.0,Amorphous,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,,base,
219,Magcargo,2,0,2,Fire,Rock,0.8,55.0,Magma Armor,Flame Body,430.0,60.0,50.0,120.0,90.0,80.0,30.0,70.0,Amorphous,0.5,0.25,4.0,1.0,1.0,0.5,2.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,,base,
220,Swinub,2,0,2,Ice,Ground,0.4,6.5,Oblivious,Snow Cloak,250.0,50.0,50.0,40.0,30.0,30.0,50.0,70.0,Field,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,base,
221,Piloswine,2,0,2,Ice,Ground,1.1,55.8,Oblivious,Snow Cloak,450.0,100.0,100.0,80.0,60.0,60.0,50.0,70.0,Field,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,base,
222,Corsola,2,0,2,Water,Rock,0.6,5.0,Hustle,Natural Cure,410.0,65.0,55.0,95.0,65.0,95.0,35.0,70.0,Water 1,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,base,
222,Galarian Corsola,2,0,1,Ghost,,0.6,0.5,Weak Armor,,410.0,60.0,55.0,100.0,65.0,100.0,30.0,,Water 1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0,,base,
223,Remoraid,2,0,1,Water,,0.6,12.0,Hustle,Sniper,300.0,35.0,65.0,35.0,65.0,35.0,65.0,70.0,Water 1,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,base,
224,Octillery,2,0,1,Water,,0.9,28.5,Suction Cups,Sniper,480.0,75.0,105.0,75.0,105.0,75.0,45.0,70.0,Water 1,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,base,
225,Delibird,2,0,2,Ice,Flying,0.9,16.0,Vital Spirit,Hustle,330.0,45.0,55.0,45.0,65.0,45.0,75.0,70.0,Field,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0,,base,
226,Mantine,2,0,2,Water,Flying,2.1,220.0,Swift Swim,Water Absorb,485.0,85.0,40.0,70.0,80.0,140.0,70.0,70.0,Water 1,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,,base,
227,Skarmory,2,0,2,Steel,Flying,1.7,50.5,Keen Eye,Sturdy,465.0,65.0,80.0,140.0,40.0,70.0,70.0,70.0,Flying,0.5,2.0,1.0,2.0,0.25,1.0,1.0,0.0,0.0,0.5,0.5,0.25,1.0,1.0,0.5,1.0,0.5,0.5,,base,
228,Houndour,2,0,2,Dark,Fire,0.6,10.8,Early Bird,Flash Fire,330.0,45.0,60.0,30.0,80.0,50.0,65.0,35.0,Field,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0,,base,
229,Houndoom,2,0,2,Dark,Fire,1.4,35.0,Early Bird,Flash Fire,500.0,75.0,90.0,50.0,110.0,80.0,95.0,35.0,Field,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0,,base,
229,Mega Houndoom,2,0,2,Dark,Fire,1.9,49.5,Solar Power,,600.0,75.0,90.0,90.0,140.0,90.0,115.0,35.0,Field,1.0,0.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0,,mega,Houndoom
230,Kingdra,2,0,2,Water,Dragon,1.8,152.0,Swift Swim,Sniper,540.0,75.0,95.0,95.0,95.0,95.0,85.0,70.0,Dragon,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0,,base,
231,Phanpy,2,0,1,Ground,,0.5,33.5,Pickup,,330.0,90.0,60.0,60.0,40.0,40.0,40.0,70.0,Field,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,,base,
232,Donphan,2,0,1,Ground,,1.1,120.0,Sturdy,,500.0,90.0,120.0,120.0,60.0,60.0,50.0,70.0,Field,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,,base,
233,Porygon2,2,0,1,Normal,,0.6,32.5,Trace,Download,515.0,85.0,80.0,90.0,105.0,95.0,60.0,70.0,Mineral,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,base,
234,Stantler,2,0,1,Normal,,1.4,71.2,Intimidate,Frisk,465.0,73.0,95.0,62.0,85.0,65.0,85.0,70.0,Field,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,base,
235,Smeargle,2,0,1,Normal,,1.2,58.0,Own Tempo,Technician,250.0,55.0,20.0,35.0,20.0,45.0,75.0,70.0,Field,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,base,
236,Tyrogue,2,0,1,Fighting,,0.7,21.0,Guts,Steadfast,210.0,35.0,35.0,35.0,35.0,35.0,35.0,70.0,Undiscovered,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,,base,
237,Hitmontop,2,0,1,Fighting,,1.4,48.0,Intimidate,Technician,455.0,50.0,95.0,95.0,35.0,110.0,70.0,70.0,Human-Like,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,,base,
238,Smoochum,2,0,2,Ice,Psychic,0.4,6.0,Oblivious,Forewarn,305.0,45.0,30.0,15.0,85.0,65.0,65.0,70.0,Undiscovered,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0,,base,
239,Elekid,2,0,1,Electric,,0.6,23.5,Static,,360.0,45.0,63.0,37.0,65.0,55.0,95.0,70.0,Undiscovered,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,base,
240,Magby,2,0,1,Fire,,0.7,21.4,Flame Body,,365.0,45.0,75.0,37.0,70.0,55.0,83.0,70.0,Undiscovered,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,,base,
241,Miltank,2,0,1,Normal,,1.2,75.5,Thick Fat,Scrappy,490.0,95.0,80.0,105.0,40.0,70.0,100.0,70.0,Field,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,base,
242,Blissey,2,0,1,Normal,,1.5,46.8,Natural Cure,Serene Grace,540.0,255.0,10.0,10.0,75.0,135.0,55.0,140.0,Fairy,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,base,
243,Raikou,2,0,1,Electric,,1.9,178.0,Pressure,,580.0,90.0,85.0,75.0,115.0,100.0,115.0,35.0,Undiscovered,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,base,
244,Entei,2,0,1,Fire,,2.1,198.0,Pressure,,580.0,115.0,115.0,85.0,90.0,75.0,100.0,35.0,Undiscovered,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,,base,
245,Suicune,2,0,1,Water,,2.0,187.0,Pressure,,580.0,100.0,75.0,115.0,90.0,115.0,85.0,35.0,Undiscovered,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,base,
246,Larvitar,2,0,2,Rock,Ground,0.6,72.0,Guts,,300.0,50.0,64.0,50.0,45.0,50.0,41.0,35.0,Monster,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,,base,
247,Pupitar,2,0,2,Rock,Ground,1.2,152.0,Shed Skin,,410.0,70.0,84.0,70.0,65.0,70.0,51.0,35.0,Monster,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,,base,
248,Tyranitar,2,0,2,Rock,Dark,2.0,202.0,Sand Stream,,600.0,100.0,134.0,110.0,95.0,100.0,61.0,35.0,Monster,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,,base,
248,Mega Tyranitar,2,0,2,Rock,Dark,2.5,255.0,Sand Stream,,700.0,100.0,164.0,150.0,95.0,120.0,71.0,35.0,Monster,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,,mega,Tyranitar
249,Lugia,2,1,2,Psychic,Flying,5.2,216.0,Pressure,,680.0,106.0,90.0,130.0,90.0,154.0,110.0,0.0,Undiscovered,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,base,
250,Ho-oh,2,1,2,Fire,Flying,3.8,199.0,Pressure,,680.0,106.0,130.0,90.0,110.0,154.0,90.0,0.0,Undiscovered,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,,base,
251,Celebi,2,0,2,Psychic,Grass,0.6,5.0,Natural Cure,,600.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Undiscovered,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0,,base,
252,Treecko,3,0,1,Grass,,0.5,5.0,Overgrow,,310.0,40.0,45.0,35.0,65.0,55.0,70.0,70.0,Dragon,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,base,
253,Grovyle,3,0,1,Grass,,0.9,21.6,Overgrow,,405.0,50.0,65.0,45.0,85.0,65.0,95.0,70.0,Dragon,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,base,
254,Sceptile,3,0,1,Grass,,1.7,52.2,Overgrow,,530.0,70.0,85.0,65.0,105.0,85.0,120.0,70.0,Dragon,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,base,
254,Mega Sceptile,3,0,2,Grass,Dragon,1.9,55.2,Lightning Rod,,630.0,70.0,110.0,75.0,145.0,85.0,145.0,70.0,Dragon,1.0,1.0,0.25,0.0,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,,mega,Sceptile
255,Torchic,3,0,1,Fire,,0.4,2.5,Blaze,,310.0,45.0,60.0,40.0,70.0,50.0,45.0,70.0,Field,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,,base,
256,Combusken,3,0,2,Fire,Fighting,0.9,19.5,Blaze,,405.0,60.0,85.0,60.0,85.0,60.0,55.0,70.0,Field,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0,,base,
257,Blaziken,3,0,2,Fire,Fighting,1.9,52.0,Blaze,,530.0,80.0,120.0,70.0,110.0,70.0,80.0,70.0,Field,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0,,base,
257,Mega Blaziken,3,0,2,Fire,Fighting,1.9,52.0,Speed Boost,,630.0,80.0,160.0,80.0,130.0,80.0,100.0,70.0,Field,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0,,mega,Blaziken
258,Mudkip,3,0,1,Water,,0.4,7.6,Torrent,,310.0,50.0,70.0,50.0,50.0,50.0,40.0,70.0,Monster,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,base,
259,Marshtomp,3,0,2,Water,Ground,0.7,28.0,Torrent,,405.0,70.0,85.0,70.0,60.0,70.0,50.0,70.0,Monster,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,,base,
260,Swampert,3,0,2,Water,Ground,1.5,81.9,Torrent,,535.0,100.0,110.0,90.0,85.0,90.0,60.0,70.0,Monster,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,,base,
260,Mega Swampert,3,0,2,Water,Ground,1.9,102.0,Swift Swim,,635.0,100.0,150.0,110.0,95.0,110.0,70.0,70.0,Monster,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,,mega,Swampert
261,Poochyena,3,0,1,Dark,,0.5,13.6,Run Away,Quick Feet,220.0,35.0,55.0,35.0,30.0,30.0,35.0,70.0,Field,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,,base,
262,Mightyena,3,0,1,Dark,,1.0,37.0,Intimidate,Quick Feet,420.0,70.0,90.0,70.0,60.0,60.0,70.0,70.0,Field,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,,base,
263,Zigzagoon,3,0,1,Normal,,0.4,17.5,Pickup,Gluttony,240.0,38.0,30.0,41.0,30.0,41.0,60.0,70.0,Field,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,base,
263,Galarian Zigzagoon,3,0,2,Dark,Normal,0.4,17.5,Pickup,Gluttony,240.0,38.0,30.0,41.0,30.0,41.0,60.0,,Field,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,,base,
264,Linoone,3,0,1,Normal,,0.5,32.5,Pickup,Gluttony,420.0,78.0,70.0,61.0,50.0,61.0,100.0,70.0,Field,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,base,
264,Galarian Linoone,3,0,2,Dark,Normal,0.5,32.5,Pickup,Gluttony,420.0,78.0,70.0,61.0,50.0,61.0,100.0,,Field,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,,base,
265,Wurmple,3,0,1,Bug,,0.3,3.6,Shield Dust,,195.0,45.0,45.0,35.0,20.0,30.0,20.0,70.0,Bug,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,base,
266,Silcoon,3,0,1,Bug,,0.6,10.0,Shed Skin,,205.0,50.0,35.0,55.0,25.0,25.0,15.0,70.0,Bug,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,base,
267,Beautifly,3,0,2,Bug,Flying,1.0,28.4,Swarm,,395.0,60.0,70.0,50.0,100.0,50.0,65.0,70.0,Bug,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,,base,
268,Cascoon,3,0,1,Bug,,0.7,11.5,Shed Skin,,205.0,50.0,35.0,55.0,25.0,25.0,15.0,70.0,Bug,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,base,
269,Dustox,3,0,2,Bug,Poison,1.2,31.6,Shield Dust,,385.0,60.0,50.0,70.0,50.0,90.0,65.0,70.0,Bug,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,,base,
270,Lotad,3,0,2,Water,Grass,0.5,2.6,Swift Swim,Rain Dish,220.0,40.0,30.0,30.0,40.0,50.0,30.0,70.0,Grass,1.0,1.0,0.25,1.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,,base,
271,Lombre,3,0,2,Water,Grass,1.2,32.5,Swift Swim,Rain Dish,340.0,60.0,50.0,50.0,60.0,70.0,50.0,70.0,Grass,1.0,1.0,0.25,1.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,,base,
272,Ludicolo,3,0,2,Water,Grass,1.5,55.0,Swift Swim,Rain Dish,480.0,80.0,70.0,70.0,90.0,100.0,70.0,70.0,Grass,1.0,1.0,0.25,1.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,,base,
273,Seedot,3,0,1,Grass,,0.5,4.0,Chlorophyll,Early Bird,220.0,40.0,40.0,50.0,30.0,30.0,30.0,70.0,Field,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,base,
274,Nuzleaf,3,0,2,Grass,Dark,1.0,28.0,Chlorophyll,Early Bird,340.0,70.0,70.0,40.0,60.0,40.0,60.0,70.0,Field,1.0,2.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,2.0,0.0,4.0,1.0,0.5,1.0,0.5,1.0,2.0,,base,
275,Shiftry,3,0,2,Grass,Dark,1.3,59.6,Chlorophyll,Early Bird,480.0,90.0,100.0,60.0,90.0,60.0,80.0,70.0,Field,1.0,2.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,2.0,0.0,4.0,1.0,0.5,1.0,0.5,1.0,2.0,,base,
276,Taillow,3,0,2,Normal,Flying,0.3,2.3,Guts,,270.0,40.0,55.0,30.0,30.0,30.0,85.0,70.0,Flying,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,,base,
277,Swellow,3,0,2,Normal,Flying,0.7,19.8,Guts,,455.0,60.0,85.0,60.0,75.0,50.0,125.0,70.0,Flying,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,,base,
278,Wingull,3,0,2,Water,Flying,0.6,9.5,Keen Eye,Hydration,270.0,40.0,30.0,30.0,55.0,30.0,85.0,70.0,Flying,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,,base,
279,Pelipper,3,0,2,Water,Flying,1.2,28.0,Keen Eye,Drizzle,440.0,60.0,50.0,100.0,95.0,70.0,65.0,70.0,Flying,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,,base,
280,Ralts,3,0,2,Psychic,Fairy,0.4,6.6,Synchronize,Trace,198.0,28.0,25.0,25.0,45.0,35.0,40.0,35.0,Amorphous,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0,,base,
281,Kirlia,3,0,2,Psychic,Fairy,0.8,20.2,Synchronize,Trace,278.0,38.0,35.0,35.0,65.0,55.0,50.0,35.0,Amorphous,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0,,base,
282,Gardevoir,3,0,2,Psychic,Fairy,1.6,48.4,Synchronize,Trace,518.0,68.0,65.0,65.0,125.0,115.0,80.0,35.0,Amorphous,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0,,base,
282,Mega Gardevoir,3,0,2,Psychic,Fairy,1.6,48.4,Pixilate,,618.0,68.0,85.0,65.0,165.0,135.0,100.0,35.0,Amorphous,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0,,mega,Gardevoir
283,Surskit,3,0,2,Bug,Water,0.5,1.7,Swift Swim,,269.0,40.0,30.0,32.0,50.0,52.0,65.0,70.0,Bug,1.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,,base,
284,Masquerain,3,0,2,Bug,Flying,0.8,3.6,Intimidate,,454.0,70.0,60.0,62.0,100.0,82.0,80.0,70.0,Bug,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,,base,
285,Shroomish,3,0,1,Grass,,0.4,4.5,Effect Spore,Poison Heal,295.0,60.0,40.0,60.0,40.0,60.0,35.0,70.0,Fairy,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,base,
286,Breloom,3,0,2,Grass,Fighting,1.2,39.2,Effect Spore,Poison Heal,460.0,60.0,130.0,80.0,60.0,60.0,70.0,70.0,Fairy,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,,base,
287,Slakoth,3,0,1,Normal,,0.8,24.0,Truant,,280.0,60.0,60.0,60.0,35.0,35.0,30.0,70.0,Field,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,base,
288,Vigoroth,3,0,1,Normal,,1.4,46.5,Vital Spirit,,440.0,80.0,80.0,80.0,55.0,55.0,90.0,70.0,Field,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,base,
